Proto,Local Address,Foreign Address,State,Name,Session#,Mem Usage,PID
-----,-------------,---------------,-----,----,--------,---------,---
TCP,:::64526,:::0,Bound,obs64,1,102,904 K,51672
TCP,:::64523,:::0,Bound,obs64,1,102,904 K,51672
TCP,:::59686,:::0,Bound,chrome,1,91,996 K,14808
TCP,:::59446,:::0,Bound,chrome,1,91,996 K,14808
TCP,:::56988,:::0,Bound,chrome,1,91,996 K,14808
TCP,:::55840,:::0,Bound,chrome,1,91,996 K,14808
TCP,:::55232,:::0,Bound,chrome,1,91,996 K,14808
TCP,:::55229,:::0,Bound,chrome,1,91,996 K,14808
TCP,:::55189,:::0,Bound,Code,1,24,676 K,15052
TCP,:::55026,:::0,Bound,SearchHost,1,71,760 K,13468
TCP,:::55023,:::0,Bound,SearchHost,1,71,760 K,13468
TCP,:::54675,:::0,Bound,chrome,1,91,996 K,14808
TCP,:::54558,:::0,Bound,java,1,193,296 K,53708
TCP,:::54557,:::0,Bound,java,1,193,296 K,53708
TCP,:::53906,:::0,Bound,chrome,1,91,996 K,14808
TCP,:::53814,:::0,Bound,chrome,1,91,996 K,14808
TCP,:::53411,:::0,Bound,Nahimic3,1,192 K,27340
TCP,:::53410,:::0,Bound,Nahimic3,1,192 K,27340
TCP,:::49678,:::0,Bound,CoordService,0,6,124 K,8940
TCP,:::49410,:::0,Bound,svchost,0,6,128 K,5004
TCP,2603:7001:76f0:8e70:d0... 2607:5300:60:1567:a585... CloseWait,,,obs64,1,102,904 K,51672
TCP,2603:7001:76f0:8e70:d0... 2607:5300:60:1567:a585... CloseWait,,,obs64,1,102,904 K,51672
TCP,2603:7001:76f0:8e70:d0... 2607:f8b0:4004:c19::bc... Established,,,chrome,1,91,996 K,14808
TCP,2603:7001:76f0:8e70:d0... 2606:4700:20::ac43:46f... Established,,,chrome,1,91,996 K,14808
TCP,2603:7001:76f0:8e70:d0... 2607:f8b0:4004:c1f::bc... Established,,,chrome,1,91,996 K,14808
TCP,2603:7001:76f0:8e70:d0... 2607:f8b0:4004:c1f::bc... Established,,,chrome,1,91,996 K,14808
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2606:2800:21f:5b71:3e2... Established,,,chrome,1,91,996 K,14808
TCP,2603:7001:76f0:8e70:d0... 2606:2800:21f:5b71:3e2... Established,,,chrome,1,91,996 K,14808
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2603:7001:76f0:8e70::1:53 TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2620:1ec:a92::175:443,Established,,Code,1,24,676 K,15052
TCP,2603:7001:76f0:8e70:d0... 2607:f8b0:4006:81f::20... TimeWait,,,Idle,0,8 K,0
TCP,2603:7001:76f0:8e70:d0... 2001:4860:4864:4:8000:... Established,,,chrome,1,91,996 K,14808
TCP,2603:7001:76f0:8e70:d0... 2606:4700::6812:863:443,CloseWait,,Nahimic3,1,192 K,27340
TCP,2603:7001:76f0:8e70:d0... 2606:4700::6812:1566:443,CloseWait,,Nahimic3,1,192 K,27340
TCP,::1:50052,::1:49678,Established,LicenseService,0,3,216 K,7100
TCP,:::50052,:::0,Listen,LicenseService,0,3,216 K,7100
TCP,::1:49678,::1:50052,Established,CoordService,0,6,124 K,8940
TCP,:::49675,:::0,Listen,services,0,6,752 K,1748
TCP,::1:49673,:::0,Listen,jhi_service,0,840 K,7056
TCP,:::49672,:::0,Listen,spoolsv,0,128 K,6264
TCP,:::49669,:::0,Listen,svchost,0,13,988 K,4248
TCP,:::49668,:::0,Listen,svchost,0,8,856 K,3764
TCP,:::49665,:::0,Listen,wininit,0,40 K,1676
TCP,:::49664,:::0,Listen,lsass,0,13,284 K,1784
TCP,2603:7001:76f0:8e70:d0... 2603:1030:608:7::400:443,Established,,svchost,0,6,128 K,5004
TCP,::1:9100,:::0,Listen,dart,1,98,376 K,46216
TCP,:::8000,:::0,Listen,httpd,0,1,628 K,6916
TCP,:::7680,:::0,Listen,svchost,0,10,464 K,17964
TCP,::1:5435,:::0,Listen,wslrelay,1,1,880 K,17932
TCP,:::5435,:::0,Listen,com.docker.backend,1,53,032 K,16372
TCP,::1:4003,:::0,Listen,node,1,48,340 K,46320
TCP,:::2179,:::0,Listen,vmms,0,15,044 K,4060
TCP,:::445,:::0,Listen,System,0,104 K,4
TCP,:::135,:::0,Listen,svchost,0,13,860 K,2000
TCP,0.0.0.0:63943,0.0.0.0:0,Bound,chrome,1,91,996 K,14808
TCP,0.0.0.0:59255,0.0.0.0:0,Bound,chrome,1,91,996 K,14808
TCP,0.0.0.0:55542,0.0.0.0:0,Bound,adb,1,4,564 K,42176
TCP,0.0.0.0:55295,0.0.0.0:0,Bound,chrome,1,91,996 K,14808
